ativo,data,preco,valor,dividendo
brcr,2016-07-31,96.5,118.34,0.85
brcr,2016-08-31,94.98,118.34,0.8
brcr,2016-09-30,97.6,118.14,0.8
brcr,2016-10-31,97,118.09,0.75
brcr,2016-11-30,94.1,109.5,0.74
brcr,2016-12-31,96.75,109.5,0.74
brcr,2017-01-31,96.2,109.5,0.74
brcr,2017-02-28,107,109.35,0.96
brcr,2017-03-31,105.25,109.18,0.76
brcr,2017-04-30,101.49,109.18,0.67
brcr,2017-05-31,102.5,109.46,0.66
brcr,2017-06-30,100.9,107.59,0.57
brcr,2017-07-31,90.5,107.54,0.42
brcr,2017-08-31,91,107.54,0.35
brcr,2017-09-30,95.38,107.54,0.32
brcr,2017-10-31,101,107.54,0.43
brcr,2017-11-30,100.8,107.54,0.42
brcr,2017-12-31,106.6,124.55,0.49
brcr,2018-01-31,105.3,124.55,0.45
brcr,2018-02-28,107.7,124.55,0.5
brcr,2018-03-31,106.5,124.79,0.35
brcr,2018-04-30,103.8,124.79,0.31
brcr,2018-05-31,91,124.79,0.27
brcr,2018-06-30,89.8,125.57,0.35
brcr,2018-07-31,89.2,125.21,0.35
brcr,2018-08-31,90.75,125.21,0.4
brcr,2018-09-30,95.25,125.23,0.35
brcr,2018-10-31,100,125.25,0.35
brcr,2018-11-30,102.04,125.25,0.35
brcr,2018-12-31,104,125.92,0.35
brcr,2019-01-31,102.25,125.92,0.35
brcr,2019-02-28,105.3,125.92,0.41
brcr,2019-03-31,96,107.82,0.41
brcr,2019-04-30,92.8,107.82,0.41
brcr,2019-05-31,90.43,108.15,1.03
brcr,2019-06-30,97.59,109.99,0.45
brcr,2019-07-31,97.13,109.99,0.39
brcr,2019-08-31,93.23,111.06,0.4
brcr,2019-09-30,90.8,110.9,0.41
brcr,2019-10-31,92.48,110.9,0.5
brcr,2019-11-30,99.24,110.05,0.55
brcr,2019-12-31,118.93,110.61,0.56
brcr,2020-01-31,114.96,110.61,0.56
brcr,2020-02-29,109.86,110.61,0.59
brcr,2020-03-31,89.31,110.18,0.56
brcr,2020-04-30,92.36,110.18,0.49
brcr,2020-05-31,91.8,110.18,0.43
hglg,2016-07-31,1170.01,106.88,0.87
hglg,2016-08-31,1157,107.08,0.87
hglg,2016-09-30,1160,107.79,0.87
hglg,2016-10-31,1144.99,108.24,0.87
hglg,2016-11-30,1101.02,108.33,0.87
hglg,2016-12-31,1100,110.54,0.87
hglg,2017-01-31,1196.5,110.55,0.87
hglg,2017-02-28,1350,110,0.87
hglg,2017-03-31,1193.2,110.56,0.87
hglg,2017-04-30,1233.99,110.94,0.87
hglg,2017-05-31,1255,111.04,0.87
hglg,2017-06-30,1245,110.63,0.87
hglg,2017-07-31,1238,110.37,0.87
hglg,2017-08-31,1251,112.01,0.87
hglg,2017-09-30,1295.23,112.27,0.87
hglg,2017-10-31,1283,111.74,0.87
hglg,2017-11-30,1323,112.73,0.87
hglg,2017-12-31,1296.03,114.18,0.87
hglg,2018-01-31,1314,113.86,0.87
hglg,2018-02-28,1379.99,117.34,0.87
hglg,2018-03-31,1440,116.99,0.87
hglg,2018-04-30,140.92,116.42,0.87
hglg,2018-05-31,134,115.74,0.87
hglg,2018-06-30,124.99,115.96,0.75
hglg,2018-07-31,125.85,116.04,0.75
hglg,2018-08-31,126.02,116.12,0.75
hglg,2018-09-30,125.4,116.48,0.75
hglg,2018-10-31,131.03,120.83,0.75
hglg,2018-11-30,136.81,121.02,0.75
hglg,2018-12-31,140.9,107.35,0.75
hglg,2019-01-31,145.49,107.35,0.75
hglg,2019-02-28,152.5,118.21,0.75
hglg,2019-03-31,156.77,118.58,0.75
hglg,2019-04-30,157.5,119,0.75
hglg,2019-05-31,154.8,80.39,0.75
hglg,2019-06-30,151.64,84.86,0.75
hglg,2019-07-31,159.85,89.06,0.75
hglg,2019-08-31,152,93.65,0.78
hglg,2019-09-30,154,97.67,0.78
hglg,2019-10-31,162.19,101.97,0.78
hglg,2019-11-30,180,106.95,0.78
hglg,2019-12-31,212,111.19,0.78
hglg,2020-01-31,191.5,111.19,0.78
hglg,2020-02-29,178.31,134.31,0.78
hglg,2020-03-31,158.05,134.31,0.78
hglg,2020-04-30,173,133.85,0.78
hglg,2020-05-31,183.4,133.85,0.78
